Skill ID,Name (VN),Name (EN),Hero Class (VN),Hero Class (EN),Is Offensive,Target Type,Damage Multiplier,Accuracy Modifier,Cooldown,Primary Effect ID,Effect Magnitude,Effect Duration,Effect Notes,Stress Damage,Rarity,Description (VN),Description (EN)
sk_w1,Đòn Kiếm,Sword Strike,Chiến Binh,Warrior,Yes,Front Enemy,1,0,0,,,,,0,Common,"Đòn cơ bản. Đánh 1 địch hàng đầu, không hiệu ứng phụ.","Basic strike. Attacks 1 front enemy, no secondary effect."
sk_w2,Khiêu Chiến,Taunt,Chiến Binh,Warrior,No,Self,0,0,2,eff_taunt,1,2 turns,,0,Common,Buộc tất cả địch tập trung tấn công Chiến Binh trong 2 lượt. Tăng giáp 10%.,
sk_w3,Phòng Thủ Vững Chắc,Shield Wall,Chiến Binh,Warrior,No,Self,0,0,2,eff_def_buff,0.4,,,0,Common,Giảm 40% sát thương nhận vào trong 1 lượt. Kết hợp tốt với Taunt.,
sk_w4,Vũ Bão Kiếm,Blade Storm,Chiến Binh,Warrior,Yes,2 Front Enemies,0.85,0,1,,,,,5,Uncommon,Đánh đồng thời 2 địch hàng đầu với 85% dmg mỗi đòn.,
sk_w5,Cắt Sâu,Deep Cut,Chiến Binh,Warrior,Yes,Front Enemy,0.9,5,0,eff_bleed,3,3 turns,per turn,0,Common,Gây chảy máu 3 dmg/lượt trong 3 lượt.,
sk_w6,Bước Tiến,Advance,Chiến Binh,Warrior,Yes,Front Enemy,1.1,-5,0,eff_self_move,,,Forward,0,Uncommon,"Di chuyển lên hàng đầu và tấn công ngay, +10% dmg nếu đã ở hàng đầu.",
sk_w7,Đứng Vững,Last Stand,Chiến Binh,Warrior,No,Self,0,0,3,eff_hp_threshold_buff,0.5,,stat=DEF when HP<30%,0,Rare,"Passive: khi HP dưới 30%, tự động nhận +50% phòng thủ và không thể bị stun.",
sk_m1,Tia Phép,Magic Bolt,Pháp Sư,Mage,Yes,Any Enemy,1,5,0,,,,,0,Common,"Đòn phép cơ bản, tầm xa, không tốn mana.","Basic magic bolt. Ranged, no mana cost."
sk_m2,Cầu Lửa,Fireball,Pháp Sư,Mage,Yes,Front Row (AoE),1.2,0,1,eff_burn,2,2 turns,per turn,8,Uncommon,"Tấn công toàn bộ hàng đầu địch, áp burn 2 lượt.",
sk_m3,Băng Giá,Frost Nova,Pháp Sư,Mage,Yes,All Enemies,0.7,0,2,eff_slow,1,2 turns,,5,Uncommon,"Đóng băng chân tất cả địch, giảm tốc độ 30% trong 2 lượt.",
sk_m4,Sét Giáng,Lightning,Pháp Sư,Mage,Yes,Any Enemy,1.4,10,1,eff_stun,1,1 turn,chance=0.5,10,Rare,"Đòn đơn sát thương cao nhất của Pháp Sư, 50% stun 1 lượt.",
sk_m5,Khiên Ma Thuật,Arcane Shield,Pháp Sư,Mage,No,Self,0,0,2,eff_absorb,15,2 turns,,0,Common,"Tạo khiên hấp thụ 15 sát thương tiếp theo, kéo dài 2 lượt.",
sk_m6,Nghi Thức Phục Hồi,Mana Restore,Pháp Sư,Mage,No,Self,0,0,0,eff_reset_cd,,,All skills -1 cd,0,Uncommon,Giảm cooldown tất cả kỹ năng 1 lượt. Tốn cả lượt hành động.,
