Event ID,Name (VN),Name (EN),Stage,Trigger Type,Rarity,Description (VN),Choice 1 Text (VN),Choice 1 Outcomes,Choice 2 Text (VN),Choice 2 Outcomes,Choice 3 Text (VN),Choice 3 Outcomes,Status,Notes
event_open_tomb,Mộ Cổ Mở Nắp,Ancient Tomb,"1,2,3",random,Common,Một cỗ quan tài đá lóng lánh hiện ra trong bóng tối. Bụi vàng phủ trên nắp — nhưng có ai biết bên trong là gì?,Mở quan tài,type=gold|value=300|chance=0.5; type=damage|target=random_hero|value=8-15|chance=0.3; type=stress|target=party|value=10|chance=0.2,Bỏ qua,type=stress|target=party|value=5|chance=1.0,,,Live,"Sự kiện mẫu trong Schema JSON, đã chuẩn hóa outcome."
event_whispering_shadow,Bóng Thì Thầm,Whispering Shadow,"1,2,3",random,Uncommon,"Một bóng đen vô hình thì thầm bên tai. Lời nó nói nửa mê hoặc, nửa cảnh báo. Bạn có muốn lắng nghe?",Lắng nghe (nhận tri thức),type=skill_cd_reset|target=random_hero|value=all|chance=0.6; type=stress|target=random_hero|value=20|chance=0.4,Bịt tai bỏ đi,type=trait_apply|target=random_hero|value=trait_08|chance=0.3; type=none|chance=0.7,,,Live,Đã đề cập trong Stage Schema JSON. Lựa chọn 2 có cơ hội nhỏ áp Stoic trait.
event_strange_altar,Bàn Thờ Bí Ẩn,Strange Altar,"2,3",random,Rare,"Một bàn thờ phủ rêu, khắc đầy ký tự ma quái. Bạn cảm thấy nó muốn được ""hiến"" thứ gì đó.",Hiến máu (1 hero -10 HP),type=damage|target=chosen_hero|value=10|chance=1.0; type=perm_buff|target=chosen_hero|value=eff_perm_dmg|chance=1.0,Hiến vàng (-200 gold),type=gold|value=-200|chance=1.0; type=perm_buff|target=chosen_hero|value=eff_perm_hp|chance=1.0,Phá hủy bàn thờ,type=stress|target=party|value=15|chance=1.0; type=gold|value=80|chance=0.5,Live,Cho phép player chọn permanent buff theo HP hay gold cost. Phá hủy có nhỏ chance gold.
event_lost_survivor,Người Lưu Lạc,Lost Survivor,"1,2",random,Common,"Một người sống sót gầy gò bám vào vách hang, đôi mắt đầy hoảng sợ. Họ van xin được giúp đỡ.",Cứu giúp (chia thức ăn),type=heal|target=party|value=12|chance=1.0; type=stress_reduce|target=party|value=8|chance=1.0,Cướp đồ (thủ pháp tàn nhẫn),type=gold|value=180|chance=1.0; type=item_grant|target=inventory|value=item_c01|chance=0.5; type=stress|target=party|value=15|chance=1.0,Mặc kệ,type=stress|target=party|value=5|chance=1.0,Live,Lựa chọn đạo đức: cứu = heal/stress_reduce; cướp = gold + stress; mặc kệ = stress nhỏ.
event_black_fog_patch,Đám Sương Đen,Black Fog Patch,"1,2,3",conditional,Common,Sương Mù Đen đặc quánh chặn lối. Bạn có thể đi xuyên qua (nguy hiểm) hoặc tìm đường vòng (mất thời gian).,Đi xuyên qua sương,type=stress|target=party|value=15|chance=1.0; type=disease_apply|target=random_hero|value=dis_01|chance=0.3,Đi đường vòng,type=stress|target=party|value=3|chance=1.0; type=skill_cd_reset|target=random_hero|value=-1|chance=0.5,,,Live,Conditional: chỉ trigger ở các node sau combat. Disease áp Fever theo dis_01.
event_wandering_spirit,Linh Hồn Vất Vưởng,Wandering Spirit,"2,3",random,Uncommon,"Một linh hồn không yên nghỉ lảng vảng. Là Người Dẫn Hồn, bạn có thể trói nó vào một hero, hoặc giải thoát.",Trói linh hồn vào 1 hero,type=perm_buff|target=chosen_hero|value=eff_perm_acc|chance=1.0; type=perm_debuff|target=chosen_hero|value=eff_perm_stress_tick|chance=1.0,Giải thoát linh hồn,type=stress_reduce|target=party|value=15|chance=1.0; type=gold|value=50|chance=0.5,,,Live,Trade-off rõ: power vĩnh viễn (ACC+) đổi stress_tick vĩnh viễn. Hợp với theme Soul Warden.
event_cursed_treasure,Kho Báu Nguyền Rủa,Cursed Treasure,"2,3",random,Rare,Một rương báu phát quang đỏ kỳ lạ. Vàng tỏa ra mùi máu nhưng quá hấp dẫn để bỏ qua.,Mở rương (lấy vàng + cursed item),type=gold|value=400|chance=1.0; type=item_grant|target=inventory|value=cursed_random|chance=1.0,Phá rương (cẩn thận),type=gold|value=120|chance=1.0; type=stress|target=random_hero|value=10|chance=0.5,Bỏ qua,type=none|chance=1.0,Live,cursed_random = ngẫu nhiên 1 trong item_cu01..item_cu07. Player phải chọn equip hay bán.
event_sacrificial_stone,Đá Hiến Tế,Sacrificial Stone,3,random,Epic,Một tảng đá đen rỉ máu. Tiếng thì thầm hứa hẹn sức mạnh tối thượng — đổi lại bằng máu của một linh hồn.,"Hiến tế 1 hero (-50% HP, áp Cursed)",type=damage|target=chosen_hero|value=50%_max_hp|chance=1.0; type=disease_apply|target=chosen_hero|value=dis_06|chance=1.0; type=perm_buff|target=party|value=eff_perm_dmg|chance=1.0,Cự tuyệt và đập đá,type=stress_reduce|target=party|value=20|chance=1.0; type=trait_apply|target=random_hero|value=trait_05|chance=0.4,,,Live,Stage 3 only — endgame risk/reward. Cự tuyệt có chance áp trait Brave (trait_05).
event_old_witch_doctor,Thầy Mo Già,Old Witch Doctor,"1,2,3",random,Uncommon,Một bà lão lưng còng pha thuốc bốc khói trong góc tối. Bà ta có thể chữa bệnh — nhưng thuốc của bà ta đắt.,"Mua thuốc (-150 gold, chữa 1 disease)",type=gold|value=-150|chance=1.0; type=disease_remove|target=chosen_hero|value=any|chance=1.0,"Cướp thuốc (-30 gold tránh xung đột, +stress)",type=disease_remove|target=chosen_hero|value=any|chance=0.7; type=stress|target=party|value=20|chance=1.0; type=trait_apply|target=random_hero|value=trait_07|chance=0.2,Bỏ qua,type=none|chance=1.0,Live,Cướp có chance áp Bloodthirsty (trait_07) — nhân quả. Yêu cầu hero có disease để xuất hiện.
event_forbidden_tome,Sách Cấm,Forbidden Tome,"2,3",random,Rare,"Một cuốn sách bọc da người, khóa bằng xích máu. Mở ra có thể thay đổi vận mệnh — hoặc lý trí.",Đọc sách (random hero),type=skill_cd_reset|target=random_hero|value=all|chance=1.0; type=stress|target=random_hero|value=25|chance=1.0; type=disease_apply|target=random_hero|value=dis_03|chance=0.3,Đốt sách,type=stress_reduce|target=party|value=10|chance=1.0; type=gold|value=-50|chance=0.5,Mang về Hamlet,type=item_grant|target=inventory|value=item_c05|chance=1.0; type=stress|target=party|value=8|chance=1.0,Live,Mang về cho item_c05 (Energy Vial) — có thể đổi sách thành item phù hợp. Đọc có chance áp Nightmare (dis_03).
